Threshold Error Accuracy
0.399 1.60481 0.479403
0.4 1.60381 0.479137
0.401 1.60188 0.478823
0.402 1.60055 0.478513
0.403 1.59952 0.47821
0.404 1.59827 0.47783
0.405 1.59763 0.47745
0.406 1.59601 0.477077
0.407 1.59603 0.476637
0.408 1.59509 0.4763
0.409 1.59373 0.475937
0.41 1.59309 0.475553
0.411 1.59129 0.475223
0.412 1.59131 0.47483
0.413 1.59006 0.474483
0.414 1.58939 0.474107
0.415 1.58783 0.473703
0.416 1.58572 0.473313
0.417 1.58524 0.472923
0.418 1.584 0.472507
0.419 1.58185 0.472073
0.42 1.58024 0.471627
0.421 1.57885 0.471253
0.422 1.57889 0.47084
0.423 1.57861 0.47043
0.424 1.57769 0.469997
0.425 1.57742 0.469583
0.426 1.57665 0.469167
0.427 1.57635 0.46871
0.428 1.57492 0.468337
0.429 1.57435 0.467903
0.43 1.57388 0.467433
0.431 1.57201 0.467037
0.432 1.57106 0.466507
0.433 1.56863 0.466073
0.434 1.56715 0.465607
0.435 1.56649 0.46514
0.436 1.56647 0.464687
0.437 1.56465 0.464217
0.438 1.56219 0.46377
0.439 1.5606 0.463323
0.44 1.55937 0.46276
0.441 1.55912 0.46227
0.442 1.55797 0.461783
0.443 1.55807 0.46124
0.444 1.55673 0.4608
0.445 1.55594 0.460307
0.446 1.55469 0.459793
0.447 1.55357 0.459293
0.448 1.55186 0.4588
0.449 1.55089 0.458343
0.45 1.55013 0.45777
0.451 1.54893 0.457277
0.452 1.54721 0.456827
0.453 1.54485 0.456297
0.454 1.5444 0.455733
0.455 1.54329 0.455203
0.456 1.54158 0.454687
0.457 1.54066 0.45409
0.458 1.5399 0.453557
0.459 1.53717 0.453013
0.46 1.53565 0.452427
0.461 1.53462 0.45196
0.462 1.53331 0.451427
0.463 1.53166 0.45092
0.464 1.53127 0.450317
0.465 1.52956 0.44983
0.466 1.52934 0.449227
0.467 1.52752 0.448697
0.468 1.52716 0.448133
0.469 1.52524 0.447587
0.47 1.5233 0.446927
0.471 1.5212 0.446307
0.472 1.51935 0.445777
0.473 1.51862 0.44514
0.474 1.51703 0.444587
0.475 1.51479 0.44405
0.476 1.51329 0.443407
0.477 1.51205 0.44285
0.478 1.51111 0.44226
0.479 1.50994 0.441683
0.48 1.509 0.441153
0.481 1.50662 0.440573
0.482 1.50601 0.439943
0.483 1.5048 0.439307
0.484 1.50318 0.438667
0.485 1.5031 0.438103
0.486 1.49962 0.437587
0.487 1.49589 0.437027
0.488 1.49474 0.43641
0.489 1.49223 0.43577
0.49 1.49159 0.435117
0.491 1.48915 0.4345
0.492 1.48812 0.433893
0.493 1.4852 0.433287
0.494 1.48451 0.432637
0.495 1.48165 0.431947
0.496 1.47992 0.431287
0.497 1.47909 0.430603
0.498 1.47846 0.42998
0.499 1.47792 0.429267
0.5 1.47561 0.428567
0.501 1.47318 0.428023
0.502 1.47214 0.427327
0.503 1.47009 0.426733
0.504 1.4698 0.42606
0.505 1.4696 0.42542
0.506 1.46825 0.424737
0.507 1.46568 0.424213
0.508 1.46412 0.423587
0.509 1.46278 0.422947
0.51 1.46206 0.42232
0.511 1.46165 0.421667
0.512 1.46049 0.421033
0.513 1.45905 0.42034
0.514 1.4579 0.419697
0.515 1.45679 0.41904
0.516 1.45613 0.418387
0.517 1.4557 0.417723
0.518 1.45307 0.417167
0.519 1.45146 0.416517
0.52 1.45067 0.415813
0.521 1.44992 0.41516
0.522 1.44976 0.414473
0.523 1.44775 0.41379
0.524 1.44785 0.41316
0.525 1.44674 0.412477
0.526 1.44518 0.41179
0.527 1.44376 0.411123
0.528 1.44058 0.410477
0.529 1.43913 0.409807
0.53 1.43939 0.409127
0.531 1.43711 0.40842
0.532 1.43629 0.407753
0.533 1.43561 0.407123
0.534 1.43548 0.406413
0.535 1.4345 0.405797
0.536 1.43423 0.405193
0.537 1.43372 0.404573
0.538 1.43318 0.40389
0.539 1.43195 0.403197
0.54 1.43154 0.402607
0.541 1.43084 0.40196
0.542 1.42953 0.40127
0.543 1.42816 0.400603
0.544 1.42842 0.39997
0.545 1.42676 0.39938
0.546 1.42508 0.39879
0.547 1.4223 0.39815
0.548 1.42138 0.397557
0.549 1.42197 0.39689
0.55 1.42195 0.39625
0.551 1.41879 0.395693
0.552 1.41786 0.395087
0.553 1.41718 0.3944
0.554 1.41664 0.39375
0.555 1.4148 0.393103
0.556 1.41204 0.392477
0.557 1.4102 0.39195
0.558 1.40647 0.391277
0.559 1.40667 0.39055
0.56 1.40473 0.3899
0.561 1.40316 0.389213
0.562 1.40274 0.388583
0.563 1.40249 0.38783
0.564 1.40068 0.387203
0.565 1.39902 0.3866
0.566 1.39622 0.385937
0.567 1.39376 0.385243
0.568 1.39114 0.384587
0.569 1.39075 0.383927
0.57 1.39029 0.38322
0.571 1.38801 0.382603
0.572 1.3869 0.381973
0.573 1.38484 0.381373
0.574 1.38233 0.380737
0.575 1.38175 0.380103
0.576 1.38126 0.37945
0.577 1.38001 0.378773
0.578 1.37891 0.378127
0.579 1.37787 0.37746
0.58 1.37633 0.37685
0.581 1.37456 0.37621
0.582 1.37173 0.37562
0.583 1.36985 0.374927
0.584 1.36897 0.374353
0.585 1.36706 0.373733
0.586 1.36722 0.373123
0.587 1.36525 0.372517
0.588 1.36483 0.371733
0.589 1.36279 0.37114
0.59 1.36074 0.370537
0.591 1.36051 0.369857
0.592 1.35803 0.36921
0.593 1.35616 0.36864
0.594 1.35597 0.36795
0.595 1.35512 0.367253
0.596 1.35206 0.366633
0.597 1.35165 0.36589
0.598 1.35077 0.365193
0.599 1.35015 0.36451
0.6 1.34996 0.36388
0.601 1.34826 0.363207
0.602 1.34765 0.362527
0.603 1.34599 0.36194
0.604 1.34451 0.36122
0.605 1.34408 0.36047
0.606 1.34175 0.359787
0.607 1.34284 0.35907
0.608 1.34035 0.358413
0.609 1.34026 0.357743
