Threshold Error Accuracy 2B2JPredictHH
0.328000 3.302912 0.577491 0.001883
0.329000 3.301841 0.577410 0.001881
0.330000 3.300009 0.577320 0.001878
0.331000 3.297883 0.577233 0.001875
0.332000 3.296561 0.577142 0.001873
0.333000 3.293927 0.577045 0.001870
0.334000 3.289686 0.576937 0.001864
0.335000 3.287572 0.576838 0.001861
0.336000 3.285147 0.576741 0.001857
0.337000 3.284139 0.576640 0.001856
0.338000 3.281527 0.576528 0.001852
0.339000 3.278363 0.576415 0.001848
0.340000 3.276359 0.576294 0.001845
0.341000 3.275965 0.576179 0.001843
0.342000 3.274512 0.576055 0.001841
0.343000 3.272552 0.575924 0.001838
0.344000 3.269138 0.575804 0.001833
0.345000 3.267143 0.575672 0.001830
0.346000 3.265696 0.575545 0.001828
0.347000 3.263113 0.575417 0.001824
0.348000 3.260003 0.575287 0.001820
0.349000 3.256864 0.575161 0.001815
0.350000 3.255328 0.575039 0.001813
0.351000 3.253740 0.574886 0.001810
0.352000 3.251129 0.574759 0.001807
0.353000 3.249185 0.574613 0.001803
0.354000 3.247226 0.574468 0.001800
0.355000 3.243855 0.574324 0.001796
0.356000 3.243626 0.574172 0.001795
0.357000 3.241125 0.574021 0.001791
0.358000 3.237765 0.573866 0.001786
0.359000 3.236121 0.573711 0.001783
0.360000 3.232249 0.573550 0.001778
0.361000 3.230334 0.573400 0.001775
0.362000 3.225057 0.573238 0.001768
0.363000 3.222653 0.573067 0.001764
0.364000 3.220840 0.572887 0.001761
0.365000 3.217860 0.572712 0.001757
0.366000 3.214827 0.572546 0.001752
0.367000 3.214405 0.572372 0.001751
0.368000 3.212537 0.572193 0.001748
0.369000 3.209564 0.572007 0.001743
0.370000 3.206812 0.571832 0.001739
0.371000 3.203886 0.571641 0.001735
0.372000 3.201803 0.571451 0.001732
0.373000 3.200039 0.571256 0.001729
0.374000 3.196807 0.571064 0.001724
0.375000 3.192343 0.570879 0.001718
0.376000 3.189982 0.570676 0.001714
0.377000 3.188224 0.570470 0.001711
0.378000 3.184696 0.570273 0.001706
0.379000 3.180609 0.570065 0.001700
0.380000 3.175885 0.569864 0.001694
0.381000 3.172098 0.569652 0.001688
0.382000 3.170736 0.569427 0.001686
0.383000 3.166687 0.569205 0.001680
0.384000 3.162037 0.568987 0.001673
0.385000 3.159423 0.568763 0.001669
0.386000 3.157767 0.568527 0.001666
0.387000 3.153704 0.568305 0.001660
0.388000 3.149389 0.568059 0.001654
0.389000 3.147486 0.567814 0.001651
0.390000 3.143067 0.567589 0.001645
0.391000 3.140613 0.567330 0.001641
0.392000 3.138962 0.567086 0.001638
0.393000 3.134641 0.566835 0.001632
0.394000 3.131502 0.566585 0.001627
0.395000 3.130177 0.566334 0.001624
0.396000 3.127346 0.566076 0.001620
0.397000 3.123857 0.565828 0.001615
0.398000 3.121629 0.565571 0.001611
0.399000 3.119118 0.565302 0.001607
0.400000 3.116964 0.565026 0.001603
0.401000 3.112545 0.564775 0.001597
0.402000 3.109374 0.564517 0.001592
0.403000 3.106835 0.564256 0.001588
0.404000 3.103491 0.563975 0.001583
0.405000 3.101287 0.563702 0.001579
0.406000 3.097242 0.563422 0.001574
0.407000 3.095994 0.563137 0.001571
0.408000 3.093498 0.562861 0.001567
0.409000 3.090133 0.562566 0.001562
0.410000 3.088068 0.562262 0.001558
0.411000 3.084050 0.561970 0.001552
0.412000 3.083087 0.561685 0.001550
0.413000 3.079965 0.561402 0.001545
0.414000 3.077838 0.561110 0.001541
0.415000 3.073844 0.560808 0.001536
0.416000 3.068909 0.560502 0.001529
0.417000 3.067144 0.560193 0.001526
0.418000 3.063785 0.559877 0.001520
0.419000 3.058564 0.559555 0.001513
0.420000 3.054415 0.559217 0.001507
0.421000 3.051176 0.558874 0.001502
0.422000 3.050362 0.558547 0.001500
0.423000 3.048944 0.558220 0.001497
0.424000 3.046185 0.557889 0.001492
0.425000 3.044712 0.557570 0.001489
0.426000 3.042409 0.557227 0.001485
0.427000 3.040679 0.556895 0.001482
0.428000 3.037290 0.556566 0.001477
0.429000 3.035114 0.556247 0.001473
0.430000 3.033077 0.555896 0.001469
0.431000 3.028880 0.555532 0.001463
0.432000 3.025560 0.555175 0.001458
0.433000 3.019921 0.554836 0.001451
0.434000 3.016098 0.554460 0.001445
0.435000 3.013707 0.554112 0.001441
0.436000 3.012801 0.553731 0.001438
0.437000 3.008261 0.553363 0.001432
0.438000 3.002710 0.552981 0.001424
0.439000 2.998880 0.552590 0.001418
0.440000 2.994795 0.552237 0.001413
0.441000 2.993152 0.551866 0.001409
0.442000 2.989945 0.551469 0.001404
0.443000 2.988715 0.551081 0.001401
0.444000 2.985505 0.550673 0.001396
0.445000 2.982989 0.550270 0.001392
0.446000 2.979451 0.549865 0.001386
0.447000 2.976198 0.549472 0.001381
0.448000 2.971924 0.549065 0.001375
0.449000 2.969398 0.548643 0.001371
0.450000 2.966404 0.548242 0.001366
0.451000 2.963086 0.547838 0.001361
